Date,Region,Province,PrizeName,WinningNumbers
7/12/2023,Miền Bắc,XSMB,Đặc biệt,35627
7/12/2023,Miền Bắc,XSMB,Giải nhất,13260
7/12/2023,Miền Bắc,XSMB,Giải nhì,96217
7/12/2023,Miền Bắc,XSMB,Giải nhì,17317
7/12/2023,Miền Bắc,XSMB,Giải ba,28340
7/12/2023,Miền Bắc,XSMB,Giải ba,60873
7/12/2023,Miền Bắc,XSMB,Giải ba,47641
7/12/2023,Miền Bắc,XSMB,Giải ba,19296
7/12/2023,Miền Bắc,XSMB,Giải ba,93791
7/12/2023,Miền Bắc,XSMB,Giải ba,58846
7/12/2023,Miền Bắc,XSMB,Giải tư,1425
7/12/2023,Miền Bắc,XSMB,Giải tư,878
7/12/2023,Miền Bắc,XSMB,Giải tư,269
7/12/2023,Miền Bắc,XSMB,Giải tư,6048
7/12/2023,Miền Bắc,XSMB,Giải năm,4114
7/12/2023,Miền Bắc,XSMB,Giải năm,5973
7/12/2023,Miền Bắc,XSMB,Giải năm,7447
7/12/2023,Miền Bắc,XSMB,Giải năm,951
7/12/2023,Miền Bắc,XSMB,Giải năm,213
7/12/2023,Miền Bắc,XSMB,Giải năm,1899
7/12/2023,Miền Bắc,XSMB,Giải sáu,568
7/12/2023,Miền Bắc,XSMB,Giải sáu,558
7/12/2023,Miền Bắc,XSMB,Giải sáu,529
7/12/2023,Miền Bắc,XSMB,Giải bảy,44
7/12/2023,Miền Bắc,XSMB,Giải bảy,24
7/12/2023,Miền Bắc,XSMB,Giải bảy,37
7/12/2023,Miền Bắc,XSMB,Giải bảy,61
7/12/2023,Miền Nam,Tây Ninh,Giải tám,8
7/12/2023,Miền Nam,Tây Ninh,Giải bảy,789
7/12/2023,Miền Nam,Tây Ninh,Giải sáu,1510
7/12/2023,Miền Nam,Tây Ninh,Giải sáu,1337
7/12/2023,Miền Nam,Tây Ninh,Giải sáu,7850
7/12/2023,Miền Nam,Tây Ninh,Giải năm,5699
7/12/2023,Miền Nam,Tây Ninh,Giải tư,82325
7/12/2023,Miền Nam,Tây Ninh,Giải tư,58406
7/12/2023,Miền Nam,Tây Ninh,Giải tư,1757
7/12/2023,Miền Nam,Tây Ninh,Giải tư,55288
7/12/2023,Miền Nam,Tây Ninh,Giải tư,2980
7/12/2023,Miền Nam,Tây Ninh,Giải tư,73090
7/12/2023,Miền Nam,Tây Ninh,Giải tư,71554
7/12/2023,Miền Nam,Tây Ninh,Giải ba,89787
7/12/2023,Miền Nam,Tây Ninh,Giải ba,69532
7/12/2023,Miền Nam,Tây Ninh,Giải nhì,69154
7/12/2023,Miền Nam,Tây Ninh,Giải nhất,19108
7/12/2023,Miền Nam,Tây Ninh,Đặc biệt,66425
7/12/2023,Miền Nam,An Giang,Giải tám,42
7/12/2023,Miền Nam,An Giang,Giải bảy,372
7/12/2023,Miền Nam,An Giang,Giải sáu,6180
7/12/2023,Miền Nam,An Giang,Giải sáu,9836
7/12/2023,Miền Nam,An Giang,Giải sáu,5943
7/12/2023,Miền Nam,An Giang,Giải năm,8589
7/12/2023,Miền Nam,An Giang,Giải tư,96836
7/12/2023,Miền Nam,An Giang,Giải tư,46801
7/12/2023,Miền Nam,An Giang,Giải tư,87415
7/12/2023,Miền Nam,An Giang,Giải tư,15995
7/12/2023,Miền Nam,An Giang,Giải tư,56607
7/12/2023,Miền Nam,An Giang,Giải tư,97514
7/12/2023,Miền Nam,An Giang,Giải tư,48543
7/12/2023,Miền Nam,An Giang,Giải ba,96987
7/12/2023,Miền Nam,An Giang,Giải ba,88565
7/12/2023,Miền Nam,An Giang,Giải nhì,63559
7/12/2023,Miền Nam,An Giang,Giải nhất,13122
7/12/2023,Miền Nam,An Giang,Đặc biệt,539517
7/12/2023,Miền Nam,Bình Thuận,Giải tám,17
7/12/2023,Miền Nam,Bình Thuận,Giải bảy,311
7/12/2023,Miền Nam,Bình Thuận,Giải sáu,1047
7/12/2023,Miền Nam,Bình Thuận,Giải sáu,7366
7/12/2023,Miền Nam,Bình Thuận,Giải sáu,5019
7/12/2023,Miền Nam,Bình Thuận,Giải năm,3666
7/12/2023,Miền Nam,Bình Thuận,Giải tư,64122
7/12/2023,Miền Nam,Bình Thuận,Giải tư,73214
7/12/2023,Miền Nam,Bình Thuận,Giải tư,3685
7/12/2023,Miền Nam,Bình Thuận,Giải tư,63342
7/12/2023,Miền Nam,Bình Thuận,Giải tư,47661
7/12/2023,Miền Nam,Bình Thuận,Giải tư,13305
7/12/2023,Miền Nam,Bình Thuận,Giải tư,60101
7/12/2023,Miền Nam,Bình Thuận,Giải ba,37917
7/12/2023,Miền Nam,Bình Thuận,Giải ba,95433
7/12/2023,Miền Nam,Bình Thuận,Giải nhì,4051
7/12/2023,Miền Nam,Bình Thuận,Giải nhất,610
7/12/2023,Miền Nam,Bình Thuận,Đặc biệt,909255
7/12/2023,Miền Trung,Quảng Bình,Giải tám,18
7/12/2023,Miền Trung,Quảng Bình,Giải bảy,400
7/12/2023,Miền Trung,Quảng Bình,Giải sáu,7049
7/12/2023,Miền Trung,Quảng Bình,Giải sáu,8107
7/12/2023,Miền Trung,Quảng Bình,Giải sáu,3114
7/12/2023,Miền Trung,Quảng Bình,Giải năm,469
7/12/2023,Miền Trung,Quảng Bình,Giải tư,6639
7/12/2023,Miền Trung,Quảng Bình,Giải tư,49847
7/12/2023,Miền Trung,Quảng Bình,Giải tư,97157
7/12/2023,Miền Trung,Quảng Bình,Giải tư,56108
7/12/2023,Miền Trung,Quảng Bình,Giải tư,58602
7/12/2023,Miền Trung,Quảng Bình,Giải tư,73235
7/12/2023,Miền Trung,Quảng Bình,Giải tư,80947
7/12/2023,Miền Trung,Quảng Bình,Giải ba,92538
7/12/2023,Miền Trung,Quảng Bình,Giải ba,72701
7/12/2023,Miền Trung,Quảng Bình,Giải nhì,89364
7/12/2023,Miền Trung,Quảng Bình,Giải nhất,23200
7/12/2023,Miền Trung,Quảng Bình,Đặc biệt,943345
7/12/2023,Miền Trung,Bình Định,Giải tám,74
7/12/2023,Miền Trung,Bình Định,Giải bảy,989
